Age (Ma),SL (compared to present)
95.39,224.1
95.53,224.18
95.66,226.1
95.8,226.1
95.93,226.16
96.07,224.3
96.2,217.87
96.34,200.7
96.47,184.1
96.61,178.4
96.74,178.5
96.88,199.5
97.01,230.2
97.15,237.52
97.28,241.7
97.42,243.7
97.55,245.6
97.69,245.6
97.82,245.7
97.96,243.8
98.09,241.9
98.23,240
98.36,236.2
98.5,234.3
98.63,234.3
98.77,232.44
98.9,232.5
99.01,232.5
99.12,234.9
99.23,223.1
99.34,229.53
99.45,235.93
99.57,240.4
99.68,242.3
99.79,244.2
99.9,244.2
100.01,244.2
100.12,242.3
100.23,240.4
100.34,234.7
100.45,225.1
100.56,210.75
100.67,192.6
100.78,184.9
100.9,186.23
101.01,204.73
101.12,219.4
101.23,230.9
101.34,229
101.45,227.1
101.56,221.4
101.67,212.75
101.78,208
101.89,204.1
102,204.2
102.11,206.1
102.23,210.53
102.34,213.7
102.45,215.7
102.56,217.6
102.67,215.7
102.78,213.8
102.89,208
103,195.6
103.11,190.8
103.22,187
103.33,185.1
103.44,185.1
103.56,185.1
103.67,187
103.78,190.87
103.89,194.7
104,197.55
104.11,198.5
104.22,198.5
104.33,198.5
104.44,196.6
104.55,193.75
104.66,190.43
104.77,190
104.89,190
105,190
105.11,189
105.22,189
105.33,188
105.44,188
105.55,187.47
105.66,186.2
105.77,184.93
105.88,184.4
105.99,184.4
106.1,184.4
106.22,187.35
106.33,189.25
106.44,192.17
106.55,196
106.66,197.95
106.77,198
106.88,198
106.99,198
107.1,196.73
107.21,195.57
107.32,193.67
107.43,191.45
107.55,188.6
107.66,185.75
107.77,184.17
107.88,181
107.99,179.1
108.1,177.2
108.21,175.35
108.32,174.13
108.43,172.23
108.54,170.97
108.65,169.07
108.76,161.5
108.88,159.6
108.99,159.15
109.1,158.7
109.21,158.25
109.32,157.8
109.43,157.8
109.54,157.8
109.65,157.8
109.76,157.8
109.87,159.7
109.98,159.75
110.09,159.8
110.21,159.8
110.32,162.9
110.43,162.9
110.54,161.95
110.65,161
110.76,160.53
110.87,159.1
110.98,158.63
111.09,155.3
111.2,151.98
111.31,144.22
111.42,130.6
111.54,120.1
111.65,121.1
111.76,133.93
111.87,147.7
111.98,153.88
112.09,157.83
112.2,159.1
112.38,157.68
112.55,155.78
112.73,152.45
112.9,148.46
113.08,143.9
113.26,141.05
113.43,138.2
113.61,136.3
113.78,136.3
113.96,134.88
114.14,134.4
114.31,135.67
114.49,136.3
114.66,136.93
114.84,138.2
115.02,140.73
115.19,143.9
115.37,147.7
115.54,150.87
115.72,154.35
115.9,157.2
116.07,159.1
116.25,160.53
116.42,161
116.6,162.27
116.78,162.9
116.95,162.9
117.13,162.9
117.3,162.9
117.48,162.9
117.66,162.9
117.83,162.43
118.01,161
118.18,159.58
118.36,156.06
118.54,145.53
118.71,127.1
118.89,108.33
119.06,97.07
119.24,94.88
119.42,103.9
119.59,122.97
119.77,145.33
119.94,157.2
120.12,163.38
120.3,164.8
120.47,166.7
120.65,165.75
120.82,163.85
121,161.95
121.17,160.05
121.34,158.8
121.51,162
121.69,164.5
121.86,170.2
122.03,171.15
122.2,172.1
122.37,174.1
122.54,174.1
